Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
257.20,27.594,140.7294,5.1
257.40,28.765,146.5289,5.094
257.60,27.542,140.1888,5.09
257.80,30.198,153.587,5.086
258.00,36.723,186.8466,5.088
258.20,27.579,140.6529,5.1
258.40,28.722,146.5397,5.102
258.60,27.551,140.5101,5.1
258.80,30.238,153.9719,5.092
259.00,36.67,186.9436,5.098
259.20,27.591,140.7141,5.1
259.40,28.665,146.1342,5.098
259.60,27.569,140.6019,5.1
259.80,30.259,153.9578,5.088
260.00,36.631,186.7448,5.098
260.20,27.581,140.6079,5.098
260.40,28.718,146.3469,5.096
260.60,27.596,140.6844,5.098
260.80,30.32,154.1469,5.084
261.00,36.581,186.1241,5.088
261.20,27.633,140.652,5.09
261.40,28.68,145.9238,5.088
261.60,27.585,140.3525,5.088
261.80,30.38,154.4519,5.084
262.00,36.531,186.3812,5.102
262.20,27.626,140.6716,5.092
262.40,28.733,146.4808,5.098
262.60,27.552,140.3499,5.094
262.80,30.458,154.7876,5.082
263.00,36.503,186.2383,5.102
263.20,27.609,140.4746,5.088
263.40,28.707,146.4631,5.102
263.60,27.57,140.607,5.1
263.80,30.492,155.0213,5.084
264.00,36.391,185.2302,5.09
264.20,27.596,140.3533,5.086
264.40,28.685,146.1788,5.096
264.60,27.569,140.6019,5.1
264.80,30.571,155.4841,5.086
265.00,36.382,185.2571,5.092
265.20,27.601,140.5443,5.092
265.40,28.725,146.3251,5.094
265.60,27.552,140.3499,5.094
265.80,30.59,155.4584,5.082
266.00,36.344,185.0637,5.092
266.20,27.601,140.4339,5.088
266.40,28.704,146.2182,5.094
266.60,27.579,140.4874,5.094
266.80,30.643,155.789,5.084
267.00,36.336,185.0229,5.092
267.20,27.6,140.3736,5.086
267.40,28.749,146.3899,5.092
267.60,27.578,140.4823,5.094
267.80,30.701,156.0225,5.082
268.00,36.296,184.8192,5.092
268.20,27.618,140.4099,5.084
268.40,28.731,146.2408,5.09
268.60,27.615,140.6156,5.092
268.80,30.77,156.3731,5.082
269.00,36.182,184.5282,5.1
269.20,27.596,140.574,5.094
269.40,28.743,146.5893,5.1
269.60,27.584,140.6784,5.1
269.80,30.845,157.0627,5.092
270.00,36.156,184.1063,5.092
270.20,27.634,140.3807,5.08
270.40,28.721,146.5345,5.102
270.60,27.643,140.9793,5.1
270.80,30.831,156.6215,5.08
271.00,36.071,183.9621,5.1
271.20,27.629,140.4658,5.084
271.40,28.742,146.5842,5.1
271.60,27.583,140.7285,5.102
271.80,30.944,157.4431,5.088
272.00,36.069,183.6633,5.092
272.20,27.622,140.4855,5.086
272.40,28.739,146.339,5.092
272.60,27.603,140.5545,5.092
272.80,30.975,157.2911,5.078
273.00,36.02,183.702,5.1
273.20,27.611,140.54,5.09
273.40,28.741,146.4641,5.096
273.60,27.548,140.2193,5.09
273.80,31.002,157.9242,5.094
274.00,35.972,183.3133,5.096
274.20,27.593,140.1173,5.078
274.40,28.753,146.5828,5.098
274.60,27.596,140.7396,5.1
274.80,31.067,158.2553,5.094
275.00,35.909,183.2077,5.102
275.20,27.615,140.5603,5.09
275.40,28.735,146.606,5.102
275.60,27.598,140.7498,5.1
275.80,31.108,158.4019,5.092
276.00,35.915,183.2383,5.102
276.20,27.597,140.4687,5.09
276.40,28.699,146.3649,5.1
276.60,27.617,140.8467,5.1
276.80,31.162,158.6769,5.092
277.00,35.803,182.4521,5.096
277.20,27.577,140.036,5.078
277.40,28.713,146.1492,5.09
277.60,27.607,140.5196,5.09
277.80,31.226,158.5656,5.078
278.00,35.74,181.8451,5.088
278.20,27.635,140.3305,5.078
278.40,28.727,146.163,5.088
278.60,27.579,140.3219,5.088
278.80,31.273,159.0545,5.086
279.00,35.715,182.1465,5.1
279.20,27.603,140.3889,5.086
279.40,28.72,146.2997,5.094
279.60,27.584,140.4026,5.09
279.80,31.292,159.2137,5.088
280.00,35.662,181.9475,5.102
280.20,27.55,140.2295,5.09
280.40,28.759,146.6709,5.1
280.60,27.537,140.4387,5.1
280.80,31.344,159.6037,5.092
281.00,35.624,181.6824,5.1
281.20,27.572,140.2863,5.088
281.40,28.682,146.2782,5.1
281.60,27.597,140.6895,5.098
281.80,31.382,159.6089,5.086
282.00,35.561,181.0055,5.09
282.20,27.602,140.2182,5.08
282.40,28.693,146.0474,5.09
282.60,27.586,140.4679,5.092
282.80,31.468,160.0462,5.086
283.00,35.525,180.8933,5.092
283.20,27.587,140.1971,5.082
283.40,28.721,146.2473,5.092
283.60,27.564,140.6315,5.102
283.80,31.5,160.335,5.09
284.00,35.461,180.7093,5.096
284.20,27.634,140.6571,5.09
284.40,28.706,146.2284,5.094
284.60,27.594,140.5087,5.092
284.80,31.549,160.2689,5.08
285.00,35.47,180.968,5.102
285.20,27.61,140.5349,5.09
285.40,28.718,146.1746,5.09
285.60,27.607,140.4644,5.088
285.80,31.592,160.6137,5.084
286.00,35.329,180.1779,5.1
286.20,27.608,140.7456,5.098
286.40,28.766,146.6491,5.098
286.60,27.586,140.4128,5.09
286.80,31.6,160.9072,5.092
287.00,35.311,179.8742,5.094
287.20,27.623,140.4906,5.086
287.40,28.768,146.7168,5.1
287.60,27.596,140.7396,5.1
287.80,31.69,161.2387,5.088
288.00,35.266,179.7155,5.096
288.20,27.594,140.5087,5.092
288.40,28.721,146.4197,5.098
288.60,27.595,140.6241,5.096
288.80,31.731,161.2569,5.082
289.00,35.215,179.2444,5.09
289.20,27.616,140.5102,5.088
289.40,28.761,146.5085,5.094
289.60,27.589,140.7591,5.102
289.80,31.829,162.0733,5.092
290.00,35.15,179.265,5.1
290.20,27.631,140.8628,5.098
290.40,28.705,146.3381,5.098
290.60,27.611,140.8161,5.1
